ID,TIME,AMT,DV,EVID,MDV,CMT,BQL,AGE
204,180,.,0.253,0,0,2,0,5
205,0,1,.,1,1,1,0,5
205,59.9,.,.,2,1,-1,0,5
205,59.9,.,0,2,1,1,0,5
205,240,.,0.03,0,0,2,0,5
206,0,1,.,1,1,1,0,5
206,59.9,.,.,2,1,-1,0,5
206,59.9,.,0,2,1,1,0,5
206,240,.,0.0103,0,0,2,0,5
207,0,1,.,1,1,1,0,5
207,59.9,.,.,2,1,-1,0,5
207,59.9,.,0,2,1,1,0,5
207,240,.,0.0235,0,0,2,0,5
208,0,1,.,1,1,1,1,5
208,59.9,.,.,2,1,-1,1,5
208,59.9,.,0,2,1,1,1,5
208,300,.,11.6,0,0,2,1,5
209,0,1,.,1,1,1,0,5
209,59.9,.,.,2,1,-1,0,5
209,59.9,.,0,2,1,1,0,5
209,300,.,-0.00353,0,0,2,1,5
210,0,1,.,1,1,1,0,5
210,59.9,.,.,2,1,-1,0,5
210,59.9,.,0,2,1,1,0,5
210,300,.,-0.00639,0,0,2,1,5
211,0,1,.,1,1,1,0,5
211,59.9,.,.,2,1,-1,0,5
211,59.9,.,0,2,1,1,0,5
211,300,.,0.00399,0,0,2,0,5
212,0,1,.,1,1,1,0,5
212,59.9,.,.,2,1,-1,0,5
212,59.9,.,0,2,1,1,0,5
213,0,1,.,1,1,1,0,5
213,59.9,.,.,2,1,-1,0,5
213,59.9,.,0,2,1,1,0,5
214,0,1,.,1,1,1,0,5
214,59.9,.,.,2,1,-1,0,5
214,59.9,.,0,2,1,1,0,5
215,0,1,.,1,1,1,0,5
215,59.9,.,.,2,1,-1,0,5
215,59.9,.,0,2,1,1,0,5
216,0,1,.,1,1,1,0,5
216,59.9,.,.,2,1,-1,0,5
216,59.9,.,0,2,1,1,0,5
217,0,1,.,1,1,1,0,5
217,59.9,.,.,2,1,-1,0,5
217,59.9,.,0,2,1,1,0,5
218,0,1,.,1,1,1,0,5
218,59.9,.,.,2,1,-1,0,5
218,59.9,.,0,2,1,1,0,5
219,0,1,.,1,1,1,0,5
219,59.9,.,.,2,1,-1,0,5
219,59.9,.,0,2,1,1,0,5
220,0,1,.,1,1,1,0,5
220,59.9,.,.,2,1,-1,0,5
220,59.9,.,0,2,1,1,0,5
221,0,1,.,1,1,1,0,5
221,59.9,.,.,2,1,-1,0,5
221,59.9,.,0,2,1,1,0,5
222,0,1,.,1,1,1,0,5
222,59.9,.,.,2,1,-1,0,5
222,59.9,.,0,2,1,1,0,5
223,0,1,.,1,1,1,0,5
223,59.9,.,.,2,1,-1,0,5
223,59.9,.,0,2,1,1,0,5
224,0,1,.,1,1,1,0,5
224,59.9,.,.,2,1,-1,0,5
224,59.9,.,0,2,1,1,0,5
225,0,1,.,1,1,1,0,5
225,59.9,.,.,2,1,-1,0,5
225,59.9,.,0,2,1,1,0,5
226,0,1,.,1,1,1,0,5
226,59.9,.,.,2,1,-1,0,5
226,59.9,.,0,2,1,1,0,5
227,0,1,.,1,1,1,0,5
227,59.9,.,.,2,1,-1,0,5
227,59.9,.,0,2,1,1,0,5
228,0,1,.,1,1,1,0,5
228,59.9,.,.,2,1,-1,0,5
228,59.9,.,0,2,1,1,0,5
228,60,.,13.7,0,0,2,0,5
229,0,1,.,1,1,1,1,5
229,59.9,.,.,2,1,-1,1,5
229,59.9,.,0,2,1,1,1,5
229,60,.,9.86,0,0,2,1,5
230,0,1,.,1,1,1,0,5
230,59.9,.,.,2,1,-1,0,5
230,59.9,.,0,2,1,1,0,5
230,60,.,11.1,0,0,2,0,5
231,0,1,.,1,1,1,0,5
231,59.9,.,.,2,1,-1,0,5
231,59.9,.,0,2,1,1,0,5
231,60,.,8.37,0,0,2,0,5
232,0,1,.,1,1,1,0,5
232,59.9,.,.,2,1,-1,0,5
232,59.9,.,0,2,1,1,0,5
232,60,.,14.7,0,0,2,0,5
233,0,1,.,1,1,1,0,5
233,59.9,.,.,2,1,-1,0,5
233,59.9,.,0,2,1,1,0,5
233,60,.,16.6,0,0,2,0,5
234,0,1,.,1,1,1,0,5
234,59.9,.,.,2,1,-1,0,5
234,59.9,.,0,2,1,1,0,5
234,120,.,6.44,0,0,2,0,5
235,0,1,.,1,1,1,1,5
235,59.9,.,.,2,1,-1,1,5
235,59.9,.,0,2,1,1,1,5
235,120,.,1.69,0,0,2,1,5
236,0,1,.,1,1,1,0,5
236,59.9,.,.,2,1,-1,0,5
236,59.9,.,0,2,1,1,0,5
236,120,.,6.75,0,0,2,0,5
237,0,1,.,1,1,1,0,5
237,59.9,.,.,2,1,-1,0,5
237,59.9,.,0,2,1,1,0,5
237,180,.,0.878,0,0,2,0,5
238,0,1,.,1,1,1,0,5
238,59.9,.,.,2,1,-1,0,5
238,59.9,.,0,2,1,1,0,5
238,180,.,1.03,0,0,2,0,5
239,0,1,.,1,1,1,0,5
239,59.9,.,.,2,1,-1,0,5
239,59.9,.,0,2,1,1,0,5
239,180,.,0.771,0,0,2,0,5
240,0,1,.,1,1,1,0,5
240,59.9,.,.,2,1,-1,0,5
240,59.9,.,0,2,1,1,0,5
240,240,.,0.205,0,0,2,0,5
241,0,1,.,1,1,1,1,5
241,59.9,.,.,2,1,-1,1,5
241,59.9,.,0,2,1,1,1,5
241,240,.,0.0418,0,0,2,1,5
242,0,1,.,1,1,1,0,5
242,59.9,.,.,2,1,-1,0,5
242,59.9,.,0,2,1,1,0,5
242,240,.,0.39,0,0,2,0,5
243,0,1,.,1,1,1,0,5
243,59.9,.,.,2,1,-1,0,5
243,59.9,.,0,2,1,1,0,5
243,300,.,0.168,0,0,2,0,5
244,0,1,.,1,1,1,0,5
244,59.9,.,.,2,1,-1,0,5
244,59.9,.,0,2,1,1,0,5
244,300,.,0.0682,0,0,2,0,5
245,0,1,.,1,1,1,0,5
245,59.9,.,.,2,1,-1,0,5
245,59.9,.,0,2,1,1,0,5
245,300,.,0.0128,0,0,2,0,5
246,0,1,.,1,1,1,0,5
246,59.9,.,.,2,1,-1,0,5
246,59.9,.,0,2,1,1,0,5
247,0,1,.,1,1,1,0,5
247,59.9,.,.,2,1,-1,0,5
247,59.9,.,0,2,1,1,0,5
248,0,1,.,1,1,1,0,5
248,59.9,.,.,2,1,-1,0,5
248,59.9,.,0,2,1,1,0,5
249,0,1,.,1,1,1,0,5
249,59.9,.,.,2,1,-1,0,5
249,59.9,.,0,2,1,1,0,5
250,0,1,.,1,1,1,0,5
250,59.9,.,.,2,1,-1,0,5
250,59.9,.,0,2,1,1,0,5
251,0,1,.,1,1,1,0,5
251,59.9,.,.,2,1,-1,0,5
251,59.9,.,0,2,1,1,0,5
252,0,1,.,1,1,1,0,5
252,59.9,.,.,2,1,-1,0,5
252,59.9,.,0,2,1,1,0,5
253,0,1,.,1,1,1,0,5
253,59.9,.,.,2,1,-1,0,5
253,59.9,.,0,2,1,1,0,5
254,0,1,.,1,1,1,0,5
254,59.9,.,.,2,1,-1,0,5
254,59.9,.,0,2,1,1,0,5
255,0,1,.,1,1,1,0,5
255,59.9,.,.,2,1,-1,0,5
255,59.9,.,0,2,1,1,0,5
256,0,1,.,1,1,1,0,5
256,59.9,.,.,2,1,-1,0,5
256,59.9,.,0,2,1,1,0,5
257,0,1,.,1,1,1,0,5
257,59.9,.,.,2,1,-1,0,5
257,59.9,.,0,2,1,1,0,5
258,0,1,.,1,1,1,0,5
258,59.9,.,.,2,1,-1,0,5
258,59.9,.,0,2,1,1,0,5
259,0,1,.,1,1,1,0,5
259,59.9,.,.,2,1,-1,0,5
259,59.9,.,0,2,1,1,0,5
260,0,1,.,1,1,1,0,5
260,59.9,.,.,2,1,-1,0,5
260,59.9,.,0,2,1,1,0,5
261,0,1,.,1,1,1,0,5
261,10,.,4.79,0,0,2,0,5
262,0,1,.,1,1,1,0,5
262,10,.,6.73,0,0,2,0,5
263,0,1,.,1,1,1,0,5
263,10,.,8.96,0,0,2,0,5
264,0,1,.,1,1,1,0,5
264,20,.,7.38,0,0,2,0,5
265,0,1,.,1,1,1,0,5
265,20,.,7.48,0,0,2,0,5
266,0,1,.,1,1,1,0,5
266,20,.,8.77,0,0,2,0,5
267,0,1,.,1,1,1,0,5
267,30,.,13.8,0,0,2,0,5
268,0,1,.,1,1,1,0,5
268,30,.,11.7,0,0,2,0,5
269,0,1,.,1,1,1,0,5
269,30,.,8.13,0,0,2,0,5
270,0,1,.,1,1,1,0,5
270,40,.,8.73,0,0,2,0,5
271,0,1,.,1,1,1,0,5
271,40,.,8.99,0,0,2,0,5
272,0,1,.,1,1,1,0,5
