ID,REPL,TIME,EVID,DV,RIF,INH,EMB,PZA,SM,PAS,EXPR,PH,THRP,LOQ,AGR,NDV,EVIDLQ,NATG,IDEXPR,PLOT
32,2,3,0,7.27,.,.,.,.,.,.,2,7,1,0,0,1434.25381,0,0,17,15
32,2,6,0,1.35,.,.,.,.,.,.,2,7,1,0,0,3.861671033,0,0,17,15
34,1,0,0,13.19,0,0,0.0078,0,0,0,3,7,1,0,0,532852.5376,0,0,2,17
34,1,1,0,13.50,.,.,.,.,.,.,3,7,1,0,0,725778.3905,0,0,2,17
34,1,2,0,14.04,.,.,.,.,.,.,3,7,1,0,0,1247934.073,0,0,2,17
34,1,3,0,14.72,.,.,.,.,.,.,3,7,1,0,0,2475616.466,0,0,2,17
34,1,6,2,17.03,.,.,.,.,.,.,3,7,1,0,0,24865702.44,2,0,2,17
35,1,0,0,13.19,0,0,0.031,0,0,0,3,7,1,0,0,532852.5376,0,0,3,18
35,1,1,0,13.46,.,.,.,.,.,.,3,7,1,0,0,700815.5449,0,0,3,18
35,1,2,0,14.00,.,.,.,.,.,.,3,7,1,0,0,1207424.335,0,0,3,18
35,1,3,0,14.70,.,.,.,.,.,.,3,7,1,0,0,2424170.592,0,0,3,18
35,1,6,2,17.02,.,.,.,.,.,.,3,7,1,0,0,24692250.32,2,0,3,18
36,1,0,0,13.19,0,0,0.125,0,0,0,3,7,1,0,0,532852.5376,0,0,4,19
36,1,1,0,13.33,.,.,.,.,.,.,3,7,1,0,0,612926.3127,0,0,4,19
36,1,2,0,13.89,.,.,.,.,.,.,3,7,1,0,0,1073033.24,0,0,4,19
36,1,3,0,14.61,.,.,.,.,.,.,3,7,1,0,0,2204475.125,0,0,4,19
36,1,6,2,16.90,.,.,.,.,.,.,3,7,1,0,0,21900061.43,2,0,4,19
37,1,0,0,13.19,0,0,0.5,0,0,0,3,7,1,0,0,532852.5376,0,0,5,20
37,1,1,0,12.69,.,.,.,.,.,.,3,7,1,0,0,324162.4312,0,0,5,20
37,1,2,0,12.93,.,.,.,.,.,.,3,7,1,0,0,414156.831,0,0,5,20
37,1,3,0,13.26,.,.,.,.,.,.,3,7,1,0,0,573779.2388,0,0,5,20
37,1,6,2,14.25,.,.,.,.,.,.,3,7,1,0,0,1538010.106,2,0,5,20
38,1,0,0,13.19,0,0,2,0,0,0,3,7,1,0,0,532852.5376,0,0,6,21
38,1,1,0,11.09,.,.,.,.,.,.,3,7,1,0,0,65381.85157,0,0,6,21
38,1,2,0,9.92,.,.,.,.,.,.,3,7,1,0,0,20349.26353,0,0,6,21
38,1,3,0,8.75,.,.,.,.,.,.,3,7,1,0,0,6325.219395,0,0,6,21
38,1,6,0,5.24,.,.,.,.,.,.,3,7,1,0,0,188.915533,0,0,6,21
39,1,0,0,13.19,0,0,8,0,0,0,3,7,1,0,0,532852.5376,0,0,7,22
39,1,1,0,10.85,.,.,.,.,.,.,3,7,1,0,0,51431.18605,0,0,7,22
39,1,2,0,9.44,.,.,.,.,.,.,3,7,1,0,0,12623.30516,0,0,7,22
39,1,3,0,8.04,.,.,.,.,.,.,3,7,1,0,0,3093.319299,0,0,7,22
39,1,6,0,3.81,.,.,.,.,.,.,3,7,1,0,0,45.13689577,0,0,7,22
40,1,0,0,13.19,0,0,32,0,0,0,3,7,1,0,0,532852.5376,0,0,8,23
40,1,1,0,10.84,.,.,.,.,.,.,3,7,1,0,0,50919.4372,0,0,8,23
40,1,2,0,9.43,.,.,.,.,.,.,3,7,1,0,0,12394.39955,0,0,8,23
40,1,3,0,8.01,.,.,.,.,.,.,3,7,1,0,0,3010.31499,0,0,8,23
40,1,6,0,3.75,.,.,.,.,.,.,3,7,1,0,0,42.71712954,0,0,8,23
41,2,0,0,13.19,0,0,0.0078,0,0,0,3,7,1,0,0,532852.5376,0,0,10,17
41,2,1,0,13.50,.,.,.,.,.,.,3,7,1,0,0,725778.3905,0,0,10,17
41,2,2,0,14.04,.,.,.,.,.,.,3,7,1,0,0,1247934.073,0,0,10,17
41,2,3,0,14.72,.,.,.,.,.,.,3,7,1,0,0,2475616.466,0,0,10,17
41,2,6,2,17.03,.,.,.,.,.,.,3,7,1,0,0,24865702.44,2,0,10,17
42,2,0,0,13.19,0,0,0.031,0,0,0,3,7,1,0,0,532852.5376,0,0,11,18
42,2,1,0,13.46,.,.,.,.,.,.,3,7,1,0,0,700815.5449,0,0,11,18
42,2,2,0,14.00,.,.,.,.,.,.,3,7,1,0,0,1207424.335,0,0,11,18
42,2,3,0,14.70,.,.,.,.,.,.,3,7,1,0,0,2424170.592,0,0,11,18
42,2,6,2,17.02,.,.,.,.,.,.,3,7,1,0,0,24692250.32,2,0,11,18
43,2,0,0,13.19,0,0,0.125,0,0,0,3,7,1,0,0,532852.5376,0,0,12,19
43,2,1,0,13.33,.,.,.,.,.,.,3,7,1,0,0,612926.3127,0,0,12,19
43,2,2,0,13.89,.,.,.,.,.,.,3,7,1,0,0,1073033.24,0,0,12,19
43,2,3,0,14.61,.,.,.,.,.,.,3,7,1,0,0,2204475.125,0,0,12,19
43,2,6,2,16.90,.,.,.,.,.,.,3,7,1,0,0,21900061.43,2,0,12,19
44,2,0,0,13.19,0,0,0.5,0,0,0,3,7,1,0,0,532852.5376,0,0,13,20
44,2,1,0,12.69,.,.,.,.,.,.,3,7,1,0,0,324162.4312,0,0,13,20
44,2,2,0,12.93,.,.,.,.,.,.,3,7,1,0,0,414156.831,0,0,13,20
44,2,3,0,13.26,.,.,.,.,.,.,3,7,1,0,0,573779.2388,0,0,13,20
44,2,6,2,14.25,.,.,.,.,.,.,3,7,1,0,0,1538010.106,2,0,13,20
45,2,0,0,13.19,0,0,2,0,0,0,3,7,1,0,0,532852.5376,0,0,14,21
45,2,1,0,11.09,.,.,.,.,.,.,3,7,1,0,0,65381.85157,0,0,14,21
45,2,2,0,9.92,.,.,.,.,.,.,3,7,1,0,0,20349.26353,0,0,14,21
45,2,3,0,8.75,.,.,.,.,.,.,3,7,1,0,0,6325.219395,0,0,14,21
45,2,6,0,5.24,.,.,.,.,.,.,3,7,1,0,0,188.915533,0,0,14,21
46,2,0,0,13.19,0,0,8,0,0,0,3,7,1,0,0,532852.5376,0,0,15,22
46,2,1,0,10.85,.,.,.,.,.,.,3,7,1,0,0,51431.18605,0,0,15,22
46,2,2,0,9.44,.,.,.,.,.,.,3,7,1,0,0,12623.30516,0,0,15,22
46,2,3,0,8.04,.,.,.,.,.,.,3,7,1,0,0,3093.319299,0,0,15,22
46,2,6,0,3.81,.,.,.,.,.,.,3,7,1,0,0,45.13689577,0,0,15,22
47,2,0,0,13.19,0,0,32,0,0,0,3,7,1,0,0,532852.5376,0,0,16,23
47,2,1,0,10.84,.,.,.,.,.,.,3,7,1,0,0,50919.4372,0,0,16,23
47,2,2,0,9.43,.,.,.,.,.,.,3,7,1,0,0,12394.39955,0,0,16,23
47,2,3,0,8.01,.,.,.,.,.,.,3,7,1,0,0,3010.31499,0,0,16,23
47,2,6,0,3.75,.,.,.,.,.,.,3,7,1,0,0,42.71712954,0,0,16,23
94,1,0,0,13.19,0,0,0,0,0,0,7,7,2,0,0,532852.5376,0,1,1,1
94,1,1,0,13.51,.,.,.,.,.,.,7,7,2,0,0,735275.1045,0,1,1,1
94,1,2,0,14.05,.,.,.,.,.,.,7,7,2,0,0,1262999.493,0,1,1,1
94,1,3,0,14.73,.,.,.,.,.,.,7,7,2,0,0,2493006.575,0,1,1,1
94,1,6,0,17.03,.,.,.,.,.,.,7,7,2,0,0,24915483.61,0,1,1,1
95,1,0,0,13.19,0,0.01,0,0,0,0,7,7,2,0,0,532852.5376,0,0,2,2
95,1,1,0,13.23,.,.,.,.,.,.,7,7,2,0,0,558494.4723,0,0,2,2
95,1,2,0,13.76,.,.,.,.,.,.,7,7,2,0,0,947895.9331,0,0,2,2
95,1,3,0,14.44,.,.,.,.,.,.,7,7,2,0,0,1859838.102,0,0,2,2
95,1,6,2,16.64,.,.,.,.,.,.,7,7,2,0,0,16768287.3,2,0,2,2
96,1,0,0,13.19,0,0.63,0,0,0,0,7,7,2,0,0,532852.5376,0,0,3,24
96,1,1,0,7.31,.,.,.,.,.,.,7,7,2,0,0,1502.371292,0,0,3,24
96,1,2,0,5.55,.,.,.,.,.,.,7,7,2,0,0,257.2118334,0,0,3,24
96,1,3,0,4.72,.,.,.,.,.,.,7,7,2,0,0,112.2467979,0,0,3,24
96,1,6,0,4.18,.,.,.,.,.,.,7,7,2,0,0,65.15050142,0,0,3,24
97,1,0,0,13.19,0,40,0,0,0,0,7,7,2,0,0,532852.5376,0,0,4,8
97,1,1,0,6.47,.,.,.,.,.,.,7,7,2,0,0,645.6774011,0,0,4,8
97,1,2,0,3.20,.,.,.,.,.,.,7,7,2,0,0,24.53007707,0,0,4,8
97,1,3,0,1.60,.,.,.,.,.,.,7,7,2,0,0,4.96443751,0,0,4,8
97,1,6,0,1.38,.,.,.,.,.,.,7,7,2,0,0,3.966166456,0,0,4,8
98,1,0,0,13.19,0.002,0,0,0,0,0,7,7,2,0,0,532852.5376,0,0,5,9
98,1,1,0,12.94,.,.,.,.,.,.,7,7,2,0,0,417901.0663,0,0,5,9
98,1,2,0,12.76,.,.,.,.,.,.,7,7,2,0,0,346625.4219,0,0,5,9
98,1,3,0,12.62,.,.,.,.,.,.,7,7,2,0,0,303155.1501,0,0,5,9
98,1,6,0,12.43,.,.,.,.,.,.,7,7,2,0,0,250947.7427,0,0,5,9
99,1,0,0,13.19,0.125,0,0,0,0,0,7,7,2,0,0,532852.5376,0,0,6,12
99,1,1,0,11.68,.,.,.,.,.,.,7,7,2,0,0,117948.1028,0,0,6,12
99,1,2,0,10.28,.,.,.,.,.,.,7,7,2,0,0,29202.21963,0,0,6,12
99,1,3,0,8.98,.,.,.,.,.,.,7,7,2,0,0,7922.008095,0,0,6,12
99,1,6,0,5.35,.,.,.,.,.,.,7,7,2,0,0,210.9666365,0,0,6,12
100,1,0,0,13.19,8,0,0,0,0,0,7,7,2,0,0,532852.5376,0,0,7,15
100,1,1,0,11.21,.,.,.,.,.,.,7,7,2,0,0,74161.46836,0,0,7,15
100,1,2,0,9.24,.,.,.,.,.,.,7,7,2,0,0,10311.34475,0,0,7,15
100,1,3,0,7.27,.,.,.,.,.,.,7,7,2,0,0,1434.25381,0,0,7,15
100,1,6,0,1.35,.,.,.,.,.,.,7,7,2,0,0,3.861671033,2,0,7,15
101,1,0,0,13.19,0.002,0.01,0,0,0,0,7,7,2,0,0,532852.5376,0,0,8,25
